"MovieID","Title","Genres","Year","Avg","Count","Valid","Action","Adventure","Animation","Children","Comedy","Crime","Documentary","Drama","Fantasy","Film_Noir","Horror","Musical","Mystery","Romance","Sci_Fi","Thriller","War","Western"
1,"Toy Story (1995)","Animation|Children|Comedy",1995,4.14684641309581,2077,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Jumanji (1995)","Adventure|Children|Fantasy",1995,3.20114122681883,701,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,"Grumpier Old Men (1995)","Comedy|Romance",1995,3.01673640167364,478,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,"Waiting to Exhale (1995)","Comedy|Drama",1995,2.72941176470588,170,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,"Father of the Bride Part II (1995)","Comedy",1995,3.00675675675676,296,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Heat (1995)","Action|Crime|Thriller",1995,3.87872340425532,940,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,"Sabrina (1995)","Comedy|Romance",1995,3.41048034934498,458,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,"Tom and Huck (1995)","Adventure|Children",1995,3.01470588235294,68,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Sudden Death (1995)","Action",1995,2.65686274509804,102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"GoldenEye (1995)","Action|Adventure|Thriller",1995,3.54054054054054,888,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"American President, The (1995)","Comedy|Drama|Romance",1995,3.79380445304937,1033,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
